index,href,title
0,https://www.douban.com/group/topic/111574186/,西湖区丰潭路288号 泊寓文一社区 万科品牌公寓 地铁口精装修非中介免物业费拎包入住
1,https://www.douban.com/group/topic/110947954/,最有逼格的青年公寓 给你全新的居住体验 精装修拎包入住免物业费        西湖区丰潭路288号
2,https://www.douban.com/group/topic/111576159/,[西溪冰箱转卖]102升奥克斯350元，年后自取，还未出
3,https://www.douban.com/group/topic/111376427/,文新地铁口单身公寓出租，可短租可月付，没有中介费
4,https://www.douban.com/group/topic/111704692/,康乐新村四个单间出租，可短租可月付，民用水电
5,https://www.douban.com/group/topic/110556230/,拱墅 拱宸桥 次卧招租 1800 个人转租 短租
6,https://www.douban.com/group/topic/111502319/,西城时代房屋出租
7,https://www.douban.com/group/topic/111415755/,阳光满屋！！！
8,https://www.douban.com/group/topic/111300572/,【房东直租】—【宜家装修】金沙湖地铁，loft两层小温馨哦~~~
9,https://www.douban.com/group/topic/111039680/,申花郡合租（有个人空间，也不觉得寂寞）
10,https://www.douban.com/group/topic/110645966/,惊爆价：¥435/月 朝南次卧。余杭翠竹苑，近梦想小镇，阿里巴巴，海创园等城西园区
11,https://www.douban.com/group/topic/110792070/,下沙保利湾天地 两室两厅两卫 寻找合租室友
12,https://www.douban.com/group/topic/110750517/,求租2号线上的两居室 装修干净简洁 地铁沿线  拎包入住
13,https://www.douban.com/group/topic/110684290/,杭州江干下沙云水商圈1100双面飘窗转租！
14,https://www.douban.com/group/topic/110539285/,【次卧招租】
15,https://www.douban.com/group/topic/110688417/,上城区  西湖大道 城站  一室一厅一卫 精装修
16,https://www.douban.com/group/topic/110623722/,江干钱江新城和谐嘉园东苑7幢 1室 独立厨卫 主卧
17,https://www.douban.com/group/topic/110535441/,西兴地铁口，玲珑府，出租一个卧室，1530一月，三室一厅两卫，里面住着都是性格开朗的妹子，14号可以入住，电话15715748320
18,https://www.douban.com/group/topic/110437382/,（房东）800浙江大学紫金港校区旁望月公寓1室 1卫出租看房随时13758151576（包含物业费，网络费）
19,https://www.douban.com/group/topic/110481808/,求租两室一厅，莫干山路上，靠近汽车北站
20,https://www.douban.com/group/topic/107413831/,房东直租，800元/月，押一付一
21,https://www.douban.com/group/topic/110243113/,已租，近学院路地铁口，黄龙国际中心北面，近支付宝、华星、万塘路，近学院路地铁口，文三路工专路口
22,https://www.douban.com/group/topic/110226872/,西湖区学院路220号酒店式公寓出租，2680元/月大房间，有窗户，独门独户，独立卫浴，看房电话88822877，了解详情请加微信15068838816注明在豆瓣上看到的
23,https://www.douban.com/group/topic/108085104/,江干区丁桥大唐苑单间出租精装修无中介费
24,https://www.douban.com/group/topic/109825813/,(房东)浙江大学紫金港校区旁望月公寓1室1厨1卫出租
0,https://www.douban.com/group/topic/111574186/,西湖区丰潭路288号 泊寓文一社区 万科品牌公寓 地铁口精装修非中介免物业费拎包入住
1,https://www.douban.com/group/topic/110947954/,最有逼格的青年公寓 给你全新的居住体验 精装修拎包入住免物业费        西湖区丰潭路288号
2,https://www.douban.com/group/topic/111576159/,[西溪冰箱转卖]102升奥克斯350元，年后自取，还未出
3,https://www.douban.com/group/topic/111376427/,文新地铁口单身公寓出租，可短租可月付，没有中介费
4,https://www.douban.com/group/topic/111704692/,康乐新村四个单间出租，可短租可月付，民用水电
5,https://www.douban.com/group/topic/110556230/,拱墅 拱宸桥 次卧招租 1800 个人转租 短租
6,https://www.douban.com/group/topic/111502319/,西城时代房屋出租
7,https://www.douban.com/group/topic/111415755/,阳光满屋！！！
8,https://www.douban.com/group/topic/111300572/,【房东直租】—【宜家装修】金沙湖地铁，loft两层小温馨哦~~~
9,https://www.douban.com/group/topic/111039680/,申花郡合租（有个人空间，也不觉得寂寞）
10,https://www.douban.com/group/topic/110645966/,惊爆价：¥435/月 朝南次卧。余杭翠竹苑，近梦想小镇，阿里巴巴，海创园等城西园区
11,https://www.douban.com/group/topic/110792070/,下沙保利湾天地 两室两厅两卫 寻找合租室友
12,https://www.douban.com/group/topic/110750517/,求租2号线上的两居室 装修干净简洁 地铁沿线  拎包入住
13,https://www.douban.com/group/topic/110684290/,杭州江干下沙云水商圈1100双面飘窗转租！
14,https://www.douban.com/group/topic/110539285/,【次卧招租】
15,https://www.douban.com/group/topic/110688417/,上城区  西湖大道 城站  一室一厅一卫 精装修
16,https://www.douban.com/group/topic/110623722/,江干钱江新城和谐嘉园东苑7幢 1室 独立厨卫 主卧
17,https://www.douban.com/group/topic/110535441/,西兴地铁口，玲珑府，出租一个卧室，1530一月，三室一厅两卫，里面住着都是性格开朗的妹子，14号可以入住，电话15715748320
